Object,GPV-1 Prediction,Ground Truth
Accent Paving,1,0
Barrier Post,0,0
Barrier Stump,0,0
Bench,0,0
Bicycle,0,0
Brick,0,0
Bridge,0,0
Building,0,0
Bus,0,0
Bus Stop,0,0
Car,0,0
Chair,0,0
Closed Sidewalk,1,0
Cloudy,0,0
Counter,0,0
Crosswalk,0,0
Curb,0,0
Day,1,0
Dog,0,0
Driveway(flat),0,0
Elevator,0,0
Escalator,0,0
Fence,0,0
Fire hydrant,0,0
Flush Door,0,0
Foldout Sign,0,0
Fountain,0,0
Gate,0,0
Guide dog,0,0
Gutter,1,0
Hose,0,0
Jaywalker,0,0
Lamp Post,0,0
Mail box,0,0
Maintenance Vehicle,0,0
Motorcycle,0,0
Night,0,0
Obstacle on the sidewalk,0,0
Obstacle on the street,0,0
Parallel Parking Spot,0,0
Paratransit vehicle,0,0
Pedestrian Crossing,0,0
Person,1,0
Person with a disability,1,0
Pillar,0,0
Pole,0,0
Puddle,0,0
Push button,0,0
Railing,0,0
Raining,0,0
Raised Entryway,0,0
Retaining Wall,0,0
Road,1,0
Road Divider,0,0
Road Shoulder,0,0
Roadside Parking,0,0
Sidewalk,1,0
Sidewalk pits,1,0
Sign,0,0
Sign Post,0,0
Sloped Driveway,0,0
Slopped Curb,1,0
Snow,0,0
Stairs,0,0
Stone Block,0,0
Stop sign,0,0
Street Vendor,0,0
Sunny,1,0
Table,0,0
Tactile Paving,1,0
Traffic Signals,0,0
Train Platform,0,0
Train Tracks,0,0
Trash bins,0,0
Trash on roads,0,0
Tree,0,0
Turnstile,0,0
Uncontrolled Crossing,0,0
Uneven Stairs,0,0
Unpaved Road,0,0
Unpaved Sidewalk,1,0
Vegetation,1,0
Wall,0,0
Water leakage,0,0
Water Pipes,0,0
Wet surface,0,0
Wheelchair,0,0
White Cane,1,0
Yard Waste,0,0
Zebra Crossing,0,0
